method,head,coverage,error_rate
dropconnect,head2,0.1810810810810811,0.002798507462686617
dropconnect,head2,0.17618243243243242,0.0028763183125599667
dropconnect,head2,0.17111486486486485,0.0029615004935834577
dropconnect,head2,0.1660472972972973,0.003051881993896277
dropconnect,head2,0.16097972972972974,0.0031479538300105414
dropconnect,head2,0.15608108108108107,0.0032467532467532756
dropconnect,head2,0.15101351351351353,0.003355704697986628
dropconnect,head2,0.14594594594594595,0.00347222222222221
dropconnect,head2,0.14087837837837838,0.003597122302158251
dropconnect,head2,0.13597972972972974,0.003726708074534124
dropconnect,head2,0.13091216216216217,0.003870967741935516
dropconnect,head2,0.1258445945945946,0.0026845637583892135
dropconnect,head2,0.12077702702702703,0.002797202797202747
dropconnect,head2,0.11587837837837837,0.002915451895043719
dropconnect,head2,0.11081081081081082,0.0030487804878048808
dropconnect,head2,0.10574324324324325,0.0031948881789137795
dropconnect,head2,0.10067567567567567,0.001677852348993314
dropconnect,head2,0.09577702702702702,0.0017636684303351524
dropconnect,head2,0.09070945945945946,0.0
dropconnect,head2,0.08564189189189189,0.0
dropconnect,head2,0.08057432432432432,0.0
